timestamp_1hz,anger_idx,arousal,comtempt_idx,disgust_idx,fear_idx,happy_idx,neutral_idx,sad_idx,surprise_idx,timestamp,valence,emotion
37,0.09021926,-0.27931502,0.0019735424,0.0010555345,0.032641355,0.0014253795,0.3079045,0.5584549,0.0063255387,37.479166666666664,-0.46149638,Sadness
38,0.08261768,-0.2781658,0.009473265,0.0015009373,0.030039838,0.0067057945,0.3864982,0.4701587,0.013005591,38.479166666666664,-0.45895508,Sadness
39,0.19578397,-0.092145175,0.06625681,0.008929933,0.009987142,0.016846176,0.26395628,0.4333626,0.0048770485,39.479166666666664,-0.36166558,Sadness
40,0.1956287,-0.038987506,0.045819957,0.0034100544,0.004215916,0.00856397,0.33280137,0.40821958,0.0013404591,40.479166666666664,-0.34494212,Sadness
41,0.17046462,-0.030435553,0.10028547,0.0051859086,0.010402463,0.031373028,0.3359001,0.34432924,0.002059161,41.479166666666664,-0.22671121,Neutral
42,0.17829986,-0.042060833,0.10201011,0.010647327,0.0074307695,0.030232625,0.20102,0.46895388,0.0014053904,42.479166666666664,-0.26927656,Sadness
43,0.19090259,-0.07547547,0.014724337,0.07914562,0.015748562,0.0052612596,0.15098442,0.53722984,0.006003333,43.479166666666664,-0.44126812,Sadness
44,0.13902865,-0.20555407,0.033198435,0.01112607,0.009778312,0.030614242,0.39376688,0.37031737,0.012169983,44.479166666666664,-0.2965313,Neutral
45,0.084639154,-0.3036242,0.01610952,0.0028678945,0.008487648,0.030010896,0.48115563,0.36321998,0.013509269,45.479166666666664,-0.29232243,Neutral
46,0.038227852,-0.38766658,0.0036131318,0.0007419013,0.015804278,0.0053474456,0.2811239,0.64610785,0.009033679,46.479166666666664,-0.4667429,Sadness
47,0.12237928,-0.21860701,0.0049283807,0.010148128,0.0211293,0.0028036432,0.2349491,0.5954681,0.008194026,47.479166666666664,-0.55634135,Sadness
48,0.139999,0.00071354164,0.0015163879,0.110547096,0.026342804,0.0007585398,0.019088443,0.69884896,0.002898774,48.479166666666664,-0.71807414,Sadness
49,0.057785247,-0.27229148,0.0014756994,0.012365607,0.045059334,0.0016828924,0.07709627,0.78958637,0.014948566,49.479166666666664,-0.58857125,Sadness
50,0.009993927,-0.36607504,0.00056424475,0.0011129457,0.05664899,0.0010275868,0.15999222,0.72670275,0.043957356,50.479166666666664,-0.48953438,Sadness
51,0.006724966,-0.46225014,0.00069286587,0.00034349566,0.092313595,0.00019330032,0.09710152,0.7528642,0.04976602,51.479166666666664,-0.60469514,Sadness
52,0.0060835206,-0.51844424,0.0012004015,0.00041570351,0.07963005,0.00022909239,0.091086745,0.77870274,0.04265176,52.479166666666664,-0.5905145,Sadness
53,0.00793764,-0.42836806,0.0004457082,0.00032948886,0.11808714,0.000117241376,0.079879485,0.7541015,0.039101806,53.479166666666664,-0.6082149,Sadness
54,0.053993907,-0.09953233,0.006429287,0.008833368,0.1768947,0.010466386,0.40087494,0.28729248,0.055214927,54.416666666666664,-0.33353847,Neutral
55,0.045924272,0.10150143,0.020249866,0.018062629,0.4537995,0.028041309,0.18749106,0.13413845,0.11229293,55.625,-0.014806246,Fear
56,0.05964917,0.04998936,0.009489237,0.015706118,0.3121682,0.015465119,0.3104345,0.18114829,0.09593939,56.479166666666664,-0.20437951,Fear
57,0.15160044,0.007425859,0.0010515642,0.005084481,0.16944718,0.0014917626,0.35539398,0.26329502,0.0526356,57.479166666666664,-0.35700628,Neutral
58,0.055407327,-0.17291991,0.0005343614,0.018089972,0.08056054,0.00071599864,0.12778501,0.6911064,0.025800392,58.479166666666664,-0.64075094,Sadness
59,0.017474653,-0.31915358,0.00019590296,0.023920007,0.014469333,0.0002363794,0.010014601,0.9330862,0.0006029057,59.479166666666664,-0.80591875,Sadness
60,0.19603151,0.050470322,0.00050729467,0.087755926,0.06393472,8.584973e-05,0.007388562,0.6435537,0.00074244937,60.479166666666664,-0.8106199,Sadness
61,0.081222706,-0.109374754,0.00025229945,0.03511229,0.06356042,0.00014467181,0.0102280695,0.80836254,0.0011169394,61.479166666666664,-0.8077138,Sadness
62,0.04894438,-0.06712475,0.00011507777,0.010202167,0.1859153,0.0001069275,0.016435778,0.7343258,0.0039545484,62.479166666666664,-0.6821742,Sadness
63,0.0141226305,-0.123658285,0.0028645834,0.0062491493,0.33945256,0.0030674424,0.051146064,0.5178199,0.06527768,63.36805555555556,-0.48935202,Sadness
64,0.054732148,0.34457356,0.0017594842,0.005513099,0.591101,0.0008726041,0.057158988,0.17226216,0.11660053,64.54166666666667,-0.33786714,Fear
65,0.18341519,0.40058526,0.004251118,0.0012210429,0.36416253,0.00085530995,0.10364288,0.14413302,0.1983189,65.47916666666667,-0.31037223,Fear
66,0.016733127,0.260953,0.0013365456,0.000183068,0.5650731,0.00050032994,0.0526766,0.14620237,0.21729487,66.47916666666667,-0.3371974,Fear
67,0.024302362,-0.06916883,0.0016481188,0.002482721,0.27269742,0.0017802222,0.15099926,0.45247313,0.09361678,67.47916666666667,-0.501507,Sadness
68,0.06181937,-0.14981686,0.0005916328,0.057048168,0.034307893,0.00014256417,0.0064673307,0.83934975,0.00027329804,68.47916666666667,-0.8726602,Sadness
69,0.011143386,-0.24894345,0.0002823692,0.016737128,0.05310005,0.00015547808,0.0017343935,0.91665053,0.00019667798,69.47916666666667,-0.92117697,Sadness
70,0.006561771,-0.3386955,0.00033772519,0.0066701346,0.008646991,0.00023123337,0.0016697785,0.9758243,5.8107606e-05,70.47916666666667,-0.9446066,Sadness
71,0.0092841135,-0.26327524,0.00015703874,0.008746658,0.007885534,0.002084105,0.0071025304,0.96441054,0.00032949564,71.47916666666667,-0.8154153,Sadness
72,0.00865611,-0.149471,0.00051274645,0.005165413,0.022765165,0.19460718,0.056172226,0.7050502,0.0070709833,72.47916666666667,-0.31058088,Sadness
73,0.022652404,0.06048131,0.00057330745,0.009454574,0.2568696,0.035009436,0.08032646,0.5069198,0.08819439,73.47916666666667,-0.37502,Sadness
74,0.009127328,-0.19867201,0.002759333,0.0001346138,0.2238967,0.0009338699,0.14436072,0.55029505,0.06849239,74.47916666666667,-0.52267855,Sadness
75,0.016484188,-0.116164826,0.010127823,0.00027052587,0.23179032,0.0038836242,0.21712072,0.42469633,0.095626466,75.47916666666667,-0.43920264,Sadness
76,0.02160013,0.21838617,0.00034832256,0.0007509024,0.47722527,0.00030620786,0.066595286,0.23856866,0.19460523,76.47916666666667,-0.4193348,Fear
77,0.052719343,-0.07843601,0.00897459,0.00061533035,0.12544374,0.0019180449,0.33028105,0.33651018,0.14353769,77.47916666666667,-0.43689927,Neutral
78,0.04331823,-0.15102859,0.08099049,7.046261e-05,0.019243052,0.01518681,0.49960646,0.2944353,0.047149196,78.47916666666667,-0.3626028,Neutral
79,0.030186266,-0.1945595,0.004851719,0.00051986927,0.18142523,0.0007640048,0.21456957,0.4777888,0.08989451,79.47916666666667,-0.5306973,Sadness
